store_title,latitude,longitude,meta_description,meta_keyword,meta_title,store_address,store_city,store_state,country,store_description,store_hours_friday,store_hours_monday,store_hours_saturday,store_hours_sunday,store_hours_thursday,store_hours_tuesday,store_hours_wednesday,store_news,store_phone,store_postcode,store_serviced_suburbs,store_url
Godfreys Hurstville,-33.967111,151.102855,,,,"Shop 124 Westfield Hurstville, Cross Street, Hurstville NSW 2220, Australia",Hurstville,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9570 6668,2220,,
Godfreys Indooroopilly,-27.499399,152.972794,,,,"Shop 3081 Indooroopilly Shopping Centre, 322 Moggill Road, Indooroopilly QLD 4068, Australia",Indooroopilly,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 3878 9098,4068,,
Godfreys Invercargill,-46.406832,168.345264,,,,"98 Leven Street, Invercargill  9810, New Zealand",Invercargill,,New Zealand,,9am -5.30pm,9am -5.30pm,9am -5.30pm,9am -5.30pm,9am -5.30pm,9am -5.30pm,10:00 - 4:00pm,,(03) 218 3671,9810,,
Godfreys Ipswich,-27.616569,152.76448,,,,"Shop 1, 27 Thorn Street, Ipswich QLD 4305, Australia",Ipswich,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,10:00am - 4:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 3202 2160,4305,,
Godfreys Joondalup,-31.768331,115.778044,,,,"93 Joondalup Drive, Joondalup WA 6027, Australia",Joondalup,Western Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08  9300 0025,6027,,
Godfreys Kawana Waters Superstore,-26.736992,153.119658,,,,"3C, Kawana Home Central, Kawana Way, Birtinya QLD 4575, Australia",Birtinya,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am- 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 543 79974,4575,,
Godfreys Kelmscott,-32.114535,116.015372,,,,"Shop 2 2838 Albany Highway , Kelmscott WA 6111, Australia",Kelmscott,Western Australia,Australia,,9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 3:00pm,11:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:00pm,9:00am - 5:00pm,,08  9390 2904,6111,,
Godfreys Kingston,-42.97596,147.310044,,,,"Shop 69 & 70, Channel Court Shopping Centre, 29 Channel Highway, Kingston TAS 7050, Australia",Kingston,Tasmania,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,10:00am - 4:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 6227 1842,7050,,
Godfreys Knox City,-37.869828,145.238346,,,,"Shop 2059, Knox City, 425 Burwood Hwy , Knox City VIC 3104, Australia",Knox City,Victoria,Australia,,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9837 5711,3104,,
Godfreys Kotara,-32.940205,151.70822,,,,"Unit 5 150 Park Avenue , Kotara NSW 2289, Australia",Kotara,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4957 3685,2289,,
Godfreys Lakehaven,-33.238196,151.501336,,,,"53 Lake Haven Drive, Lake Haven Mega Centre (Corner of Pacific Highway and Lake Haven Drive), Lakehaven NSW 2263, Australia",Lakehaven,New South Wales,Australia,"<p>Godfreys Lake Haven have a huge range of bagless and <a href=""http://www.godfreys.com.au/vacuum-cleaners/types/bagged"" target=""_blank"">bagged vacuum cleaners</a> for you to browse. We stock an extensive selection of carpet shampooers and shampoo solutions, and we also have many <a href=""http://www.godfreys.com.au/steam-shampoo/steam-mops"" target=""_blank"">steam mops</a>, handheld steamers and multi-steamers for your convenience. You will find plenty of vacuum bags and other accessories instore, and our friendly team will help you to find the right parts for your machine. We have many commercial vacuum cleaners including backpack and wet and dry vacuums, along with a range of cleaning supplies for homes or businesses from Oates, Pullman, Research Products and Whiteleys.</p>
<p>&nbsp;</p>
<p>Godfreys Lake Haven are the biggest Godfreys store on the Central Coast, and we offer full product demonstrations on all instore models. Seniors cards are welcome, and we also offer interest-free layby on some products. You can easily park at the front of the store, and one of our friendly staff will happily carry your vacuum to your car if you would like this service. We look forward to seeing you instore!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4392 0577,2263,"<p>Buff Point, Caves Beach, Hamlyn Terrace, Lake Munmorah, Morisset, Norah Head, Swansea, Toukley, Woongarrah, Wyee, Wyong</p>",
Godfreys Launceston,-41.44212,147.138345,,,,"78 Wellington Street, Launceston TAS 7250, Australia",Launceston,Tasmania,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 6331 2333,7250,,
Godfreys Lilydale,-37.754137,145.36199,,,,"T4, 445-449 Maroondah Hwy , Lilydale VIC 3104, Australia",Lilydale,Victoria,Australia,,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9735 4960,3104,,
Godfreys Liverpool,-33.921351,150.923914,,,,"Shop 1060 Westfield Shoppingtown Liverpool, Macquarie Street, Liverpool NSW 2170, Australia",Liverpool,New South Wales,Australia,"<p>Godfreys Liverpool can provide expert advice on all things cleaning. We stock a great range of vacuums, and we have one to suit all budgets and lifestyles! We can source parts and organise repairs for most makes and models of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, and we have an excellent supply of <a href=""http://www.godfreys.com.au/vacuum-cleaner-parts/vacuum-cleaner-bags"" target=""_blank"">vacuum bags</a> and filters for you.&nbsp;</p>
<p>&nbsp;</p>
<p>The friendly team here at Godfreys Liverpool are happy to provide full demonstrations of any product you wish to see, and we have interest-free options available as well. We are conveniently located in the Westfield mall near Target, so come and see us instore today!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9821 2462,2170,"<p>Bonnyrigg, Cabramatta, Hoxton Park, Lansvale, Liverpool, Prestons</p>",
Godfreys Loganholme,-27.659107,153.168654,,,,"Shop 11, Logan Hyperdome, Pacific Hwy, Loganholme QLD 4129, Australia",Loganholme,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 3801 1383,4129,,
Godfreys Lower Hutt,-41.20581,174.907137,,,,"Harvey Norman Centre, 28 Rutherford Street, Lower Hutt  5010, New Zealand",Lower Hutt,,New Zealand,,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,9am - 5.00pm,9am - 8pm,9am - 5.30pm,9am - 5.30pm,,04 586 7394,5010,,
Godfreys Mackay,-21.130094,149.161666,,,,"Northpoint Retail Shop, 4/14 Heaths Rd, Mt Pleasant, Mackay QLD 4740, Australia",Mackay,Queensland,Australia,"<p>Godfreys Mackay offers the complete range for all your cleaning needs, from <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, to steam mops and carpet shampooers, as well as great range of <a href=""http://www.godfreys.com.au/commercial-vacuum-cleaners"" target=""_blank"">commercial vacuum cleaners</a> and chemicals. Come on in and see Brad and his team. Located in the popular North Point Retail centre, Godfreys MacKay is definitely your one stop cleaning shop.</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 4942 9893,4740,<p>Mackay</p>,
Godfreys Maitland,-32.732559,151.556528,,,,"1/23 Mitchell Drive, Maitland NSW 2323, Australia",Maitland,New South Wales,Australia,"<p>Godfreys Maitland have an excellent range of domestic and commercial <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a> for you to browse. We are also proud to stock <a href=""http://www.godfreys.com.au/steam-shampoo/steam-cleaners"" target=""_blank"">steam cleaners</a>, carpet shampooers, Dustbusters and many other cleaning products. Our helpful sales staff will be able to assist you no matter what your cleaning requirements, and we can even do repairs on site, so if your vacuum isn't functioning properly bring it in and we'll take a look at it for you.&nbsp;</p>
<p>&nbsp;</p>
<p>The team at Godfreys Maitland are also happy to organise home delivery if this is needed, and you will always be greeted with a smile when you come instore. We look forward to seeing you soon!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 2:00pm,10:00am - 2:00pm,9:00am - 6:00pm,9:00am - 5:00pm,9:00am - 5:00pm,,02 4934 3306,2323,"<p>Beresfield,&nbsp;Branxton,&nbsp;Cessnock,&nbsp;Dungog,&nbsp;East&nbsp;Maitland,&nbsp;Kurri&nbsp;kurri,&nbsp;Morpeth, Musswelbrook,&nbsp;Pokolbin,&nbsp;Raymond terrace,&nbsp;Rutherford,&nbsp;Singleton,&nbsp;Tarro, Telarah,&nbsp;Tenambit,&nbsp;Th...",
Godfreys Mandurah,-32.536319,115.740522,,,,"2B, Centro Mandurah Trade Centre, 318 Pinjarra Road , Mandurah WA 6173, Australia",Mandurah,Western Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,11:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08  9586 9088,6173,,
Godfreys Manukau Supa,-36.991195,174.869766,,,,"Shop K, 17-21 Cavendish Drive, Manukau Supa Centa, Manukau   2104, New Zealand",Manukau ,,New Zealand,"<p>Godfreys Manukau is a large store with a massive range of <a href=""http://www.godfreys.co.nz/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, carpet extractors and steam cleaners for you to browse. We have highly trained professional staff &nbsp;who are here to help you out with any queries you may have. We have a convenient repair workshop on-site, so if your vacuum is giving you trouble bring it in and we'll take a look at it for you.&nbsp;</p>
<p>&nbsp;</p>
<p>Our experienced staff at Godfreys Manukau will help you find the perfect cleaning solution for your home or business. We are open 7 days per week and we welcome trade-ins, so come on down and say hi! We look forward to seeing you instore.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,10am - 5pm,9am - 8pm,9am - 5.30pm,9am - 5.30pm,,09 263 7636,2104,"<p>Botany, Bucklands Beach, Mangere, Manukau, Manurewa, Maraetai, Mt Roskill, Papatoetoe, Whitford</p>",
Godfreys Marion,-35.016431,138.544807,,,,"Level 2, Westfield Marion, 297 Diagonal Road, Oaklands Park, Marion SA 5046, Australia",Marion,South Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8377 0699,5046,,
Godfreys Maroochydore,-26.654098,153.090508,,,,"Shop 262 Sunshine Plaza  (PO Box 1879), Horton Pde, Maroochydore QLD 4558, Australia",Maroochydore,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,10:30am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 5479 3046,4558,,
Godfreys Maroubra,-33.93969,151.23936,,,,"Shop 4 / 822 Anzac Parade, Maroubra NSW 2035, Australia",Maroubra,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,10:00am - 3:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9349 1679,2035,,
Godfreys Melton,-37.685128,144.596556,,,,"167 High Street , Melton VIC 3337, Australia",Melton,Victoria,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9746 8035,3337,,
Godfreys Midland,-31.890737,116.006903,,,,"257 Great Eastern Hwy, Midland WA 6056, Australia",Midland,Western Australia,Australia,,9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 4:00pm,11:00am - 5:00pm,9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 5:00pm,,08  9250 3993,6056,,
Godfreys Mildura,-34.185406,142.157751,,,,"103 Lime Avenue , Mildura VIC 3500, Australia",Mildura,Victoria,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 12:00pm,Closed,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 5021 0730,3500,,
Godfreys Miranda,-34.035123,151.100016,,,,"Shop 2092 Westfield Shoppingtown Miranda, 600 The Kings Way, Miranda NSW 2228, Australia",Miranda,New South Wales,Australia,"<p>Godfreys Miranda have got a huge range of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, with one to suit every budget! Our staff have excellent product knowledge, and are more than happy to help you find the best vacuum for your cleaning needs. We have a great selection of commercial vacuums, along with <a href=""http://www.godfreys.com.au/steam-shampoo/steam-mops"" target=""_blank"">steam mops</a>, carpet shampooers and accessories for all of our machines.&nbsp;</p>
<p>&nbsp;</p>
<p>With lots of free parking and a great central location, Godfreys Miranda is an easy store to visit. We look forward to seeing you instore!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9526 7187,2228,"<p>Blakehurst, Hurstville, Miranda, Oatley, Rockdale, San Souci, South Hurstville, Sutherland Shire</p>",
Godfreys Mitre10 Bathurst,-33.420375,149.581664,,,,"Mitre10, 64-74 Bentinck Street, Bathurst NSW 2795, Australia",Bathurst,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,8:00am - 4:00pm,9:00am - 4:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 6331 1244,2795,,
Godfreys Mittagong ,-34.446513,150.436398,,,,"Shop 6A, Highlands Homemaker Centre, 205 Old Hume Hwy, Mittagong  NSW 2575, Australia",Mittagong ,New South Wales,Australia,"<p>Godfreys Mittagong offer a fantastic range of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, steam mops and carpet shampooers for you to browse. We have commercial vacuums, along with lots of commercial cleaning supplies and chemicals. We have a comprehensive vacuum <a href=""http://www.godfreys.com.au/vacuum-cleaner-repairs-service"" target=""_self"">service and repair</a> service, and we can also change a belt or clear a blockage for you instore to get your cleaner working again.</p>
<p>&nbsp;</p>
<p>Come and see us at Godfreys Mittagong today, and don't forget to ask about our exclusive Power Head range!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4871 3005,2575,"<p>Bundanoon, Bowral, Campbelltown, Central Tablelands, Exeter, Hilltop, Macarthur Square, Marulan, Mittagong, Moss Vale, Picton, South Coast, Wingercarribee Shire, Yanderra Region</p>",
Godfreys Moore Park,-33.909967,151.222389,,,,"Shop 21, Ground Floor, Moore Park Supa Centre, Kensington NSW 2033, Australia",Kensington,New South Wales,Australia,,,,,,,,,,(02) 9662 8120,2033,,
Godfreys Moorhouse Ave Superstore,-43.540471,172.624367,,,,"100 Moorhouse Avenue, Sydenham  8011, New Zealand",Sydenham,,New Zealand,,9:00 am - 5:30pm,9:00 am - 5:30pm,9:00 am - 5:30pm,9:00 am - 5:30pm,9:00 am - 5:30pm,9:00 am - 5:30pm,10:00am - 4:00pm,,03 379 3521,8011,,
Godfreys Morayfield,-27.102945,152.950344,,,,"Shop 43, Morayfield Shopping Centre, 171 Morayfield Road, Morayfield QLD 4506, Australia",Morayfield,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 3:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 5428 2755,4506,,
Godfreys Morley,-31.896267,115.896138,,,,"Morley Market, Shop 13b, 238 Walter Rd, Morley WA 6062, Australia",Morley,Western Australia,Australia,"<p>Godfreys Morley have lots of parking available to make visiting our store easy. We have over 20 years of experience, and have a great selection of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, carpet shampooers and steam mops for you to browse. Our staff will ensure that you find the perfect vacuum for your needs!&nbsp;</p>
<p>&nbsp;</p>
<p>Godfreys Morley also have a great range of accessories such as vacuum bags, filters, <a href=""http://www.godfreys.com.au/vacuum-cleaner-parts/steam-mop-accessories"" target=""_blank"">steam mop pads</a> and many more. We can also arrange delivery for customers if this is required. Come and see us today inside the old Morley Market!</p>
<p>&nbsp;</p>
<p>*Receive a free steam mop at Godfreys Morley with any purchase over $250. See voucher for details.</p>",9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 5:00pm,Closed,9:00am - 7:00pm,9:00am - 5:00pm,9:00am - 5:00pm,,08  9375 1777,6062,"<p>Alexander Heights, Ballajura, Bassendean, Bayswater, Bedford, Beechboro, Dianella, Embleton, Inglewood, Lockridge, Malaga, Morley, Mt Lawley, Noranda, Pepperwood, Yokine</p>",
Godfreys Mornington,-38.220701,145.060558,,,,"1128-1132 Nepean Highway, Peninsula Homemaker Centre, Mornington VIC 3931, Australia",Mornington,Victoria,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 5975 8080,3931,,
Godfreys Morphett Vale,-35.10613,138.521333,,,,"Shop 36, Southgate Plaza, Corner Sheriffs & Hillier Road, Morphett Vale SA 5162, Australia",Morphett Vale,South Australia,Australia,"<p>Godfreys Morphett Vale has a wonderful range of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a> for you to browse. We offer in-store vacuum repairs starting at just $9.95, and we also accept trade-ins on vacuum cleaners for your convenience. We can provide expert advice regarding vacuum bags and vacuum filters, and we also have a specialist range of pet hair vacuums to help out pet owners.&nbsp;</p>
<p>&nbsp;</p>
<p>We stock a huge range of <a href=""http://www.godfreys.com.au/commercial-vacuum-cleaners"" target=""_blank"">commercial vacuum cleaners</a>, as well as commercial supplies such as cleaning chemicals.&nbsp;Godfreys Morphett Vale recently won the award for having a Child-Friendly Environment, so bring the family along and we'll take care of you. We look forward to seeing you instore!</p>
<p>&nbsp;</p>
",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 3:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8382 2444,5162,"<p>Aldinga, Christies Beach, Hallett Cove, Happy Valley, Lonsdale, Morphett Vale, Reynella, Seaford Rise, Woodcroft</p>",
Godfreys Mosman Park,-32.003816,115.760062,,,,"Shop 2, 560 Stirling Highway, Mosman Park WA 6012, Australia",Mosman Park,Western Australia,Australia,"<p>Godfreys Mosman Park have an excellent range of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, carpet cleaners and steam cleaners available for you to browse. Our experienced and friendly cleaning professionals can provide cleaning solutions for domestic and commercial customers, including hospitals, schools and community groups. We also stock accessories for many machines, such as <a href=""http://www.godfreys.com.au/vacuum-cleaner-parts/vacuum-cleaner-bags"" target=""_blank"">vacuum bags</a>, vacuum filters and spare parts.</p>
<p>&nbsp;</p>
<p>If your vacuum needs repairing, Godfreys Mosman Park can provide on-site repairs to get your machine up and running in no time. Parking is easy, and we are located next to Blockbuster and Red Rooster for your convenience. We look forward to seeing you at Godfreys Mosman Park!</p>
<p>&nbsp;</p>",9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 4:00pm,11:00am - 5:00pm,9:00am - 7:00pm,9:00am - 5:00pm,9:00am - 5:00pm,,08 9384 3769,6012,"<p>Claremont,&nbsp;Cottesloe,&nbsp;Dalkeith,&nbsp;Mosman Park,&nbsp;Nedlands,&nbsp;North Fremantle, Peppermint Grove,&nbsp;Shenton Park,&nbsp;Subiaco, Swanbourne</p>",
Godfreys Mount Barker,-35.066728,138.865836,,,,"D1, Adelaide Hills Homemaker Centre, 6 Dutton Road, Mount Barker SA 5251, Australia",Mount Barker,South Australia,Australia,"<p>Godfreys Mt Barker is a superstore with a massive range of domestic and commercial <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a> and cleaning products. We stock the major vacuum brands, and we're happy to provide full demonstrations of any product instore to help you understand the best way to use it in your home or business. Our commercial section has not only a full range of industrial vacum cleaners, but also cleaning products from companies like Agar and Oates, including chemicals, mops, brooms and much more.&nbsp;</p>
<p>&nbsp;</p>
<p>The friendly team here at Godfreys Mt Barker offer an on-site rug cleaning service, and we are proud to offer good old-fashioned country service. We also have a service and repair centre onsite, so if your vacuum is giving you any trouble then bring it in and we'll see what we can do for you. We look forward to seeing you in our superstore soon!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8391 5880,5251,"<p>Adelaide Hills, Mannum, Meningie, Mt Barker, Murray Bridge, Strathalbyn, Tailem Bend</p>",
Godfreys Mount Gambier,-37.827833,140.779841,,,,"14 Commercial Street West , Mount Gambier SA 5390, Australia",Mount Gambier,South Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 3:00pm,10:00am - 2:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8725 7366,5390,,
Godfreys Mount Gravatt Superstore,-27.53014,153.072966,,,,"Shop 7, Homemaker City, 1290 Logan Road, Mount Gravatt  QLD 4122, Australia",Mount Gravatt ,Queensland,Australia,"<p>Godfreys Mt Gravatt have got a massive range of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, carpet shampooers and steam mops for you to view instore. We have an extensive commercial section as well, where you will find commercial vacuums, janitorial cleaning supplies and much more.</p>
<p>&nbsp;</p>
<p>We are proud to offer very competitive pricing, and our friendly, professional staff will help you find the best cleaner for your needs every time. With onsite parking, visiting Godfreys Mt Gravatt is easy, we are next door to Spotlight and we are open 7 days for your convenience. We look forward to seeing you instore!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",8:30am - 5:30pm,8:30am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,8:30am - 7:00pm,8:30am - 5:30pm,8:30am - 5:30pm,,07 3349 5164,4122,"<p>Holland Park, Mackenzie, Macgregor, Mansfield, Mt Gravatt, Robertson, Runcorn, Wishart,&nbsp;</p>",
Godfreys Mount Hutton,-32.984336,151.672293,,,,"Shop T30A, Centro Lake Macquarie, 46 Wilson Road, Mount Hutton NSW 2290, Australia",Mount Hutton,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4948 4122,2290,,
Godfreys Mount Ommaney,-27.549237,152.939057,,,,"Mount Ommaney Centre, 171 Dandenong Road, Mount Ommaney QLD 4074, Australia",Mount Ommaney,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 3376 0241,4074,,
Godfreys Nailsworth Superstore,-34.887994,138.60255,,,,"126 Main North Road, Prospect, Nailsworth  SA 5082, Australia",Nailsworth ,South Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8269 3904,5082,,
Godfreys Napier,-39.494717,176.917825,,,,"305 Hastings Street, Napier  4110, New Zealand",Napier,,New Zealand,,9am - 5.30pm,9am - 5.30pm,9am - 5pm,10am - 4pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,,06 834 1292,4110,,
Godfreys Nelson,-41.274358,173.278251,,,,"52 Vanguard St, Nelson  7010, New Zealand",Nelson,,New Zealand,,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,10am - 5.00pm,,03 546 7244,7010,,
Godfreys New Lynn,-36.907713,174.685202,,,,"Shop 1109, Lynn Mall Shopping Centre, 3058 Great North Road, New Lynn  600, New Zealand",New Lynn,,New Zealand,,9am - 9pm,9am - 6pm,9am - 5.30pm,10am - 5.30pm,9am - 9pm,9am - 6pm,9am - 6pm,,09 825 0274,600,,
Godfreys New Plymouth,-39.04809,174.112557,,,,"2-20 Rifle Range Road, Waiwhakaiho, New Plymouth  4312, New Zealand",New Plymouth,,New Zealand,"<p>Come and see the team at Godfreys New Plymouth for expert advice and great customer service! We provide all types of <a href=""http://www.godfreys.co.nz/vacuum-cleaners"">vacuum cleaners</a> for your cleaning needs. We listen to you when you come instore, and finding the right cleaner for your needs is very important to us. We will trade in most vacuum cleaners, even if they aren't working any more!</p>
<p>&nbsp;</p>
<p>We service and repair most makes and models of vacuum cleaner, so come and see us in The Valley where we're open 7 days a week!</p>",9am - 5.30pm,9am - 5.30pm,9am - 5pm,10am - 4.30pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,,06 769 6252,4312,"<p>Eltham, Hawera, Inglewood, New Plymouth, Oakura, Patea, Stratford, Waitara,</p>",
Godfreys Newcastle Superstore,-32.928456,151.770075,,,,"247 King Street, Newcastle  NSW 2300, Australia",Newcastle ,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,10:00am - 4:00pm,9:00am - 6:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4929 3444,2300,,
